deforestation_rate,year
0,20988.82643884892,1988
1,17689.770683453244,1989
2,13677.405575539571,1990
3,10972.774280575544,1991
4,13708.02744168302,1992
5,14836.533273381296,1993
6,14836.533273381296,1994
7,28983.83543165468,1995
8,18104.99365213712,1996
9,13172.144784172666,1997
10,17332.26682939363,1998
11,17213.356961489637,1999
12,18165.310251798564,2000
13,18105.8678057554,2001
14,21583.250899280574,2002
15,25328.125000000004,2003
16,27705.82284172662,2004
17,18938.06205035972,2005
18,14242.108812949642,2006
19,11596.91996402878,2007
20,12845.211330935255,2008
21,7406.227517985616,2009
22,6960.409172661874,2010
23,6365.984712230221,2011
24,4522.39473127381,2012
25,5831.002697841731,2013
26,4969.087230215832,2014
27,6157.936151079141,2015
28,7852.045863309357,2016
29,6900.96672661871,2017
30,7495.391187050364,2018
31,10081.13758992806,2019
32,10794.446942446046,2020
33,13172.144784172666,2021
